Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
4594489,ليون الإفريقي,Amin Maalouf,"Maalouf, Amin","أمين معلوف, عفيف دمشقية","=""9961903250""","=""9789953715353""",0,4.20,دار الفارابي,Paperback,451,1997,1986,,2016/05/13,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
23490687,حفلة التفاهة,Milan Kundera,"Kundera, Milan","ميلان كونديرا, معن عاقل","=""9953687323""","=""9789953687322""",4,3.33,المركز الثقافي العربي,Paperback,111,2014,2013,2016/02/13,2015/01/26,,,read,,,,1,,,0,,,,,
17860403,بيرة في نادي البلياردو,Waguih Ghali,"Ghali, Waguih","إيمان مرسال, ريم الريس","=""""","=""9789770932124""",4,3.96,دار الشروق,Paperback,283,2013,1964,2015/04/26,2015/04/10,,,read,لم أقرأ رواية بهذه العذوبة منذ فترة.<br/>انغمست في محبة إدنا المصرية اليهودية، ولم أزل منحاز للتصديق بأن اليهود المصريون هم أكثر من طلع ديك اللي جابوهم بين طوائف الشعب كلاتهم.<br/>حسست على معاناة وجيه غالي بين دفتي الرواية، ولعنت الدنيا وقلت لا أمان للبشر..<br/>,,,1,,,0,,,,,
24887877,كهربا رباني,يحيى قدري,"قدري, يحيى",,"=""""","=""9789776471665""",4,3.55,دار ليان للنشر والتوزيع,Paperback,80,2014,2014,2015/03/23,2015/03/23,,,read,اتخلق<br/>عشان يكون خالد<br/>لكنه عادي جدا<br/>زيهم بيموت.<br/><br/>بيني وبين نفسي دايمًا كنت بتمنى أكون كاتب الجملة اللي فاتت.<br/>شهادتي هتبقى مجروحة، لكن كس أم الشهادات والأراء. أنت عظيم يا يحيى. ومش محتاج لا أدلة ولا براهين.<br/>,,,1,,,0,,,,,
3771072,كلبي الهرم.. كلبي الحبيب,أسامة الدناصوري,"الدناصوري, أسامة",,"=""""","=""""",5,3.99,دار ميريت,,202,2007,2007,2015/03/23,2015/03/23,,,read,,,,1,,,0,,,,,
3614059,سفر,محمد المخزنجي,"المخزنجي, محمد",,"=""9770919462""","=""""",3,3.47,دار الشروق,,104,2007,1989,2015/03/23,2015/02/20,,,read,,,,1,,,0,,,,,
24739296,كائن لا تحتمل خفته,Milan Kundera,"Kundera, Milan",ميلان كونديرا,"=""""","=""""",5,4.11,,,319,,1984,,2015/02/08,,,read,,,,1,,,0,,,,,
17826868,نساء الكرنتينا,نائل الطوخي,"الطوخي, نائل",,"=""""","=""9786000286415""",3,3.36,دار ميريت,Paperback,364,2013,2013,2015/03/04,2015/01/09,,,read,كنت أنوي صبّ غضبي على قرعة نائل السمراء إذا خيبت هذه الرواية ظنّي.<br/>عبثية الرواية الملحمية - رغم طولها المبالغ فيه العبثي هو راخر- منعتني من صب أي حاجة على صلعة نائل المخططة..<br/>هذه رواية متعوب فيها، متعوب فيها ياما، أتمنى فقط أن يخبرنا الكاتب عن كمية الحشيش المُراقة والمُهدرة لكتابة تلك الماستر بيس أو الماستر بيشن.,,,1,,,0,,,,,
4612320,الموت يضحك,محمد المخزنجي,"المخزنجي, محمد",,"=""""","=""""",0,3.21,دار الفكر للدراسات والنشر والتوزيع,,156,1988,1988,,2015/02/20,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
6378570,حكايات بعد النوم,أحمد الديب,"الديب, أحمد",محمد المخزنجي,"=""""","=""9789776459014""",0,3.10,مدارات للأبحاث والنشر,Paperback,96,2014,,,2015/02/20,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
3483673,الآتي,محمد المخزنجي,"المخزنجي, محمد",,"=""9770919284""","=""""",0,3.41,دار الشروق,Paperback,86,2007,1983,,2015/02/20,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
13420993,الرئيس,محمد العدوي,"العدوي, محمد",محمد المخزنجي,"=""""","=""9789775015112""",0,3.94,تنوير للنشر والإعلام,Paperback,416,2013,2013,,2015/02/20,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
9406025,فندق الثعالب,محمد المخزنجي,"المخزنجي, محمد",وليد طاهر,"=""""","=""9789770928700""",0,3.85,دار الشروق,,91,2010,2010,,2015/02/20,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
5639869,أوتار الماء,محمد المخزنجي,"المخزنجي, محمد",,"=""9770187771""","=""9789770187777""",0,3.69,دار ميريت,Paperback,116,2002,2002,,2015/02/20,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
6145314,لافتات - المجموعة الكاملة,أحمد مطر,"مطر, أحمد",,"=""9775307406""","=""9789775307408""",4,4.33,كنوز للنشر والتوزيع,Hardcover,812,2007,1996,,2015/02/20,,,read,,,,1,,,0,,,,,
9978184,مسيرة الفيل,José Saramago,"Saramago, José","أحمد عبد اللطيف, خوسيه ساراماغو","=""""","=""9789774216022""",3,3.65,الهيئه المصرية العامة للكتاب,Paperback,246,2010,2008,2015/02/20,2015/02/20,,,read,,,,1,,,0,,,,,
27494,Leaves of Grass,Walt Whitman,"Whitman, Walt",,"=""""","=""""",3,4.11,Simon  Schuster,Paperback,624,2006,1855,2015/02/20,2015/02/20,,,read,,,,1,,,0,,,,,
20603460,أحد عشر كلبا,إبراهيم السيد,"السيد, إبراهيم",,"=""""","=""""",3,3.25,دار ميريت,,,2014,2014,2015/02/20,2015/02/20,,,read,,,,1,,,0,,,,,
23834082,في طريق الأذى: من معاقل القاعدة إلى حواضن داعش,يسري فودة,"فودة, يسري",Yosri Fouda,"=""""","=""""",3,3.67,دار الشروق,Paperback,233,2015,2015,2015/02/20,2015/02/14,,,read,الجزأ الثاني من الكتاب بضان وغير متناسق، وهذا رأيي، لك أن تأخذه، ولك أن تحطه في مؤخرتك.,,,1,,,0,,,,,
8075086,وداع للسلاح,Ernest Hemingway,"Hemingway, Ernest","منير البعلبكي, إرنست همنغواي","=""""","=""9789953633282""",0,3.81,دار العلم للملايين,Hardcover,478,2006,1929,,2015/02/14,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
13631502,الفراشة والدبابة وقصص أخرى,Ernest Hemingway,"Hemingway, Ernest","إرنست همنغواي, Maher Battuti","=""""","=""9789772071241""",0,2.74,الهيئة المصرية العامة للكتاب,Paperback,274,2011,2012,,2015/02/14,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
5954485,الجنوبي,عبلة الرويني,"الرويني, عبلة",,"=""""","=""0009770025712""",0,4.29,دار سعاد الصباح,,184,1992,1985,,2015/02/14,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
6617390,ثلاثية حول الرواية: فن الرواية، الوصايا المغدورة، الستار,Milan Kundera,"Kundera, Milan","بدر الدين عرودكي, ميلان كونديرا","=""""","=""""",0,4.02, المجلس الأعلى للثقافة,Paperback,564,2007,,,2015/02/08,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
13540853,أصحاب المفاتيح,Milan Kundera,"Kundera, Milan",ميلان كونديرا,"=""""","=""""",0,3.59,دار الجندي للنشر ,,95,2000,1962,,2015/02/08,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
13541756,لقاء,Milan Kundera,"Kundera, Milan","محمد بنعبود, ميلان كونديرا","=""""","=""""",0,3.74,المركز الثقافي العربي,Paperback,192,2011,2009,,2015/02/08,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
13116388,الوصايا المغدورة,Milan Kundera,"Kundera, Milan","معن عاقل, ميلان كونديرا","=""""","=""""",0,4.04,,,,2000,1993,,2015/02/08,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
7738745,البطء,Milan Kundera,"Kundera, Milan","منيرة مصطفى, ميلان كونديرا","=""""","=""""",0,3.64,ورد للطباعة والنشر والتوزيع,,118,1997,1995,,2015/02/08,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
18342229,الحياة في مكان آخر,Milan Kundera,"Kundera, Milan","محمد التهامي العماري, ميلان كونديرا","=""9953685541""","=""9789953685540""",0,3.96,المركز الثقافي العربي,Paperback,349,2012,1969,,2015/02/08,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
14743097,الجهل,Milan Kundera,"Kundera, Milan",ميلان كونديرا,"=""""","=""""",0,3.79,,Paperback,130,,2000,,2015/02/08,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
8881669,الهوية,Milan Kundera,"Kundera, Milan","ميلان كونديرا, محمد التهامي العماري","=""""","=""978995368460X""",0,3.68,المركز الثقافي العربي,Paperback,140,2010,1997,,2015/02/08,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
11233397,المزحة,Milan Kundera,"Kundera, Milan","ميلان كونديرا, أنطون حمصي","=""""","=""""",0,4.02,دار ورد,Paperback,368,1998,1967,,2015/02/08,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
10928076,غراميات مضحكة,Milan Kundera,"Kundera, Milan",ميلان كونديرا,"=""""","=""""",0,3.86,,,,,1970,,2015/02/08,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
13009683,الخلود,Milan Kundera,"Kundera, Milan","خالد أبو اليزيد البلتاجى, عمرو أحمد شطورى صابر, ميلان كونديرا","=""""","=""""",0,4.14,المجلس الأعلى للثقافة ,,,2003,1990,,2015/02/08,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
7173919,The Jokers,Albert Cossery,"Cossery, Albert","Anna Moschovakis, James Buchan","=""1590173252""","=""9781590173251""",0,3.80,NYRB Classics,Paperback,145,2010,1964,,2015/01/28,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
5985536,بابا سارتر,Ali Bader,"Bader, Ali",علي بدر,"=""""","=""9789953368953""",0,3.42,المؤسسة العربية للدراسات والنشر ,Paperback,240,2009,2004,,2015/01/26,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
11549323,رقصة الوداع,Milan Kundera,"Kundera, Milan",ميلان كونديرا,"=""9953684820""","=""9789953684826""",0,3.86,المركز الثقافي العربي,Paperback,239,,1972,,2015/01/26,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
6378981,تاريخ الجنون في العصر الكلاسيكي,Michel Foucault,"Foucault, Michel","سعيد بنكراد, ميشيل فوكو","=""9953681117""","=""""",0,4.10,المركز الثقافي العربي,Paperback,568,2006,1961,,2015/01/26,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
16218961,مذكرات نجيب الريحانى,نجيب الريحاني,"الريحاني, نجيب",,"=""""","=""9789772070459""",0,3.88,الهيئة المصرية العامة للكتاب,Paperback,252,2012,1958,,2015/01/26,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
16127365,الثقافة الجماهيرية والحداثة في مصر,Walter Armbrust,"Armbrust, Walter",محمد الشرقاوي,"=""""","=""9789772071722""",0,3.75,الهيئة المصرية العامة للكتاب,Paperback,283,2012,1996,,2015/01/26,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
13562331,إلى أين يسير العالم؟,Edgar Morin,"Morin, Edgar","أحمد العلمي, إدغار موران","=""""","=""""",0,3.57,الدار العربية للعلوم ناشرون,Paperback,94,2007,2007,,2015/01/26,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
